#SampleID	BarcodeSequence	LinkerPrimerSequence	Treatment	DOB
#Example mapping file for the QIIME analysis package.  Gum-gum.				
1	Beatles			
2	Beatles			
3	Beatles			
4	Beatles			
5	Beatles			
6	Beatles			
7	Beatles			
8	Beatles			
9	Beatles			
10	Beatles			
11	Beatles			
12	Beatles			
13	Beatles			
14	Beatles			
15	Gums			
16	Gums			
17	Gums			
18	Gums			
19	Gums			
20	Gums			
21	Gums			
22	Gums			
23	Gums			
24	Gums			
25	Gums			
26	Gums			
27	Gums			
28	Gums			
29	Gums			
30	Gums			
31	Gums			
32	Gums			
33	Gums			
34	Gums			
35	Gums			
36	Gums			
37	Gums			
38	Gums			
39	Gums			
40	Gums			
41	Gums			
42	Gums			
43	Gums			
44	Gums			
45	Gums			
46	Gums			
47	Gums			
48	Gums			
49	Gums			
50	Gums			
51	Gums			
52	Gums			
53	Gums			
54	Gums			
55	Gums			
56	Gums			
57	Gums			
58	Gums			
59	Biogas			
60	Biogas			
61	Biogas			
62	Biogas			
63	Biogas			
64	Biogas			
65	Biogas			
66	Biogas			
67	Biogas			
68	Plaques			
69	Plaques			
70	Plaques			
71	Plaques			
72	Plaques			
73	Plaques			
74	Plaques			
75	Plaques			
76	Plaques			
77	Plaques			
78	Plaques			
79	Plaques			
80	Plaques			
81	Plaques			
82	Plaques			
83	Plaques			
84	Plaques			
85	Plaques			
86	Plaques			
87	Plaques			
88	Plaques			
89	Plaques			
90	Plaques			
91	Plaques			
92	Plaques			
93	Plaques			
94	Plaques			
95	Plaques			

